iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter2,tfidf,ROC_AUC,,,,,0.7602789479714644,,,,,,
iter2,transformer,Accuracy,0.7268312424119789,,,,,,,,,,
iter2,transformer,AUC,0.8210692590321347,,,,,,,,,,
iter2,transformer,Precision_1,0.7262658227848101,,,,,,,,,,
iter2,transformer,Recall_1,0.7361668003207699,,,,,,,,,,
iter2,transformer,F1_1,0.7311827956989247,,,,,,,,,,
iter20,clinicalbert_transformer,Accuracy,0.7456738332459361,,,,,,,,,,
iter20,clinicalbert_transformer,MacroAUC,0.8309776523803126,,,,,,,,,,
iter20,clinicalbert_transformer,Precision_1,0.8223185265438786,,,,,,,,,,
iter20,clinicalbert_transformer,Recall_1,0.7027777777777777,,,,,,,,,,
iter20,clinicalbert_transformer,F1_1,0.7578632051922117,,,,,,,,,,
iter20,gru,Accuracy,0.7539457709429381,,,,,,,,,,
iter20,gru,AUC,0.8344182901709201,,,,,,,,,,
iter20,gru,Precision_1,0.7751937984496124,,,,,,,,,,
iter20,gru,Recall_1,0.7217321571772254,,,,,,,,,,
iter20,gru,F1_1,0.7475083056478405,,,,,,,,,,
iter20,lstm,Accuracy,0.7507082152974505,,,,,,,,,,
iter20,lstm,AUC,0.8342505673747713,,,,,,,,,,
iter20,lstm,Precision_1,0.7897153351698806,,,,,,,,,,
iter20,lstm,Recall_1,0.6896551724137931,,,,,,,,,,
iter20,lstm,F1_1,0.7363013698630136,,,,,,,,,,
iter20,tabular,,,RandomForest,0.8292,0.7442,,,,0.7478,0.7442,0.746,
iter20,tabular,,,XGBoost,0.8177,0.7349,,,,0.7239,0.7674,0.745,
iter20,tfidf,0,,,,,0.6276112624886467,0.8355501813784765,,,,,0.716804979253112
iter20,tfidf,1,,,,,0.8312655086848635,0.6203703703703703,,,,,0.7104984093319194
iter20,tfidf,Accuracy,,,,,0.7136864184583115,,,,,,
iter20,tfidf,ROC_AUC,,,,,0.7822327466523356,,,,,,
iter20,transformer,Accuracy,0.7434237150951032,,,,,,,,,,
iter20,transformer,AUC,0.8272913816689467,,,,,,,,,,
iter20,transformer,Precision_1,0.7788898999090081,,,,,,,,,,
iter20,transformer,Recall_1,0.6864474739374499,,,,,,,,,,
iter20,transformer,F1_1,0.7297527706734868,,,,,,,,,,
iter21,clinicalbert_transformer,Accuracy,0.7384535547483134,,,,,,,,,,
iter21,clinicalbert_transformer,MacroAUC,0.8314163525089661,,,,,,,,,,
iter21,clinicalbert_transformer,Precision_1,0.8302540415704388,,,,,,,,,,
iter21,clinicalbert_transformer,Recall_1,0.6682156133828996,,,,,,,,,,
iter21,clinicalbert_transformer,F1_1,0.7404737384140062,,,,,,,,,,
iter21,gru,Accuracy,0.7511129097531364,,,,,,,,,,
iter21,gru,AUC,0.8370874412315047,,,,,,,,,,
iter21,gru,Precision_1,0.7831541218637993,,,,,,,,,,
iter21,gru,Recall_1,0.7008821170809943,,,,,,,,,,
iter21,gru,F1_1,0.739737621667372,,,,,,,,,,
iter21,lstm,Accuracy,0.7458518818292189,,,,,,,,,,
iter21,lstm,AUC,0.834618116158519,,,,,,,,,,
iter21,lstm,Precision_1,0.7906103286384977,,,,,,,,,,
iter21,lstm,Recall_1,0.6752205292702486,,,,,,,,,,
iter21,lstm,F1_1,0.7283737024221453,,,,,,,,,,
iter21,tabular,,,RandomForest,0.8301,0.7454,,,,0.761,0.7225,0.7413,
iter21,tabular,,,XGBoost,0.8195,0.7321,,,,0.7423,0.7185,0.7302,
iter21,tfidf,0,,,,,0.6061908856405847,0.8284371327849589,,,,,0.7000993048659384
iter21,tfidf,1,,,,,0.8089005235602095,0.5743494423791822,,,,,0.6717391304347826
iter21,tfidf,Accuracy,,,,,0.6865594187856772,,,,,,
iter21,tfidf,ROC_AUC,,,,,0.7740636425984737,,,,,,
iter21,transformer,Accuracy,0.7414002428166734,,,,,,,,,,
iter21,transformer,AUC,0.8301924619085806,,,,,,,,,,
iter21,transformer,Precision_1,0.8186582809224319,,,,,,,,,,
iter21,transformer,Recall_1,0.6263031275060145,,,,,,,,,,
iter21,transformer,F1_1,0.7096774193548387,,,,,,,,,,
iter22,clinicalbert_transformer,Accuracy,0.7511811023622047,,,,,,,,,,
iter22,clinicalbert_transformer,MacroAUC,0.8349543279882496,,,,,,,,,,
iter22,clinicalbert_transformer,Precision_1,0.8386740331491712,,,,,,,,,,
iter22,clinicalbert_transformer,Recall_1,0.6982520699172033,,,,,,,,,,
iter22,clinicalbert_transformer,F1_1,0.7620481927710844,,,,,,,,,,
iter22,gru,Accuracy,0.744637798462161,,,,,,,,,,
